Experiment, Character, Exp1, Exp2, Obs1, Obs2, Total
1, A, 3, 1, 5138, 1749, 6887
2, B, 3, 1, 5667, 1878, 7545
3, A, 3, 1, 45, 12, 57
4, A, 3, 1, 27, 8, 35
5, A, 3, 1, 24, 7, 31
6, A, 3, 1, 19, 10, 29
7, A, 3, 1, 32, 11, 43
8, A, 3, 1, 26, 6, 32
9, A, 3, 1, 88, 24, 112
10, A, 3, 1, 22, 10, 32
11, A, 3, 1, 28, 6, 34
12, A, 3, 1, 25, 7, 32
13, B, 3, 1, 25, 11, 36
14, B, 3, 1, 32, 7, 39
15, B, 3, 1, 14, 5, 19
16, B, 3, 1, 70, 27, 97
17, B, 3, 1, 24, 13, 37
18, B, 3, 1, 20, 6, 26
19, B, 3, 1, 32, 13, 45
20, B, 3, 1, 44, 9, 53
21, B, 3, 1, 50, 14, 64
22, B, 3, 1, 44, 18, 62
23, C, 3, 1, 705, 224, 929
24, D, 3, 1, 882, 299, 1181
25, E, 3, 1, 428, 152, 580
26, F, 3, 1, 651, 207, 858
27, G, 3, 1, 787, 277, 1064
28, A, 2, 1, 372, 193, 565
29, B, 2, 1, 353, 166, 519
30, C, .6291, .3709, 64, 36, 100
31, D, .6291, .3709, 71, 29, 100
32, E, .6291, .3709, 60, 40, 100
33, F, .6291, .3709, 67, 33, 100
34, G, .6291, .3709, 72, 28, 100
35, E, .6291, .3709, 65, 35, 100
36, A, 3, 1, 423, 133, 556
37, B among A, 3, 1, 315, 108, 423
38, B among a, 3, 1, 101, 32, 133
39, A among AB, 2, 1, 198, 103, 301
40, A among Ab, 2, 1, 67, 35, 102
41, B among aB, 2, 1, 68, 28, 96
42, B among AaB, 2, 1, 138, 60, 198
43, B among AAB, 2, 1, 65, 38, 103
44, A, 3, 1, 480, 159, 639
45, B among A, 3, 1, 367, 113, 480
46, B among a, 3, 1, 122, 37, 159
47, A among AB, 2, 1, 245, 122, 367
48, A among Ab, 2, 1, 76, 37, 113
49, B among aB, 2, 1, 79, 43, 122
50, B among AaB, 2, 1, 175, 70, 245
51, B among AAB, 2, 1, 78, 44, 122
52, C among AaBb, 3, 1, 127, 48, 175
53, C among AaBB, 3, 1, 52, 18, 70
54, C among AABb, 3, 1, 60, 18, 78
55, C among AABB, 3, 1, 30, 14, 44
56, C among Aabb, 3, 1, 60, 16, 76
57, C among AAbb, 3, 1, 26, 11, 37
58, C among aaBb, 3, 1, 55, 24, 79
59, C among aaBB, 3, 1, 33, 10, 43
60, C among aabb, 3, 1, 30, 7, 37
61, C among AaBb, .6291, .3709, 78, 49, 127
62, C among AaBB, .6291, .3709, 38, 14, 52
63, C among AABb, .6291, .3709, 45, 15, 60
64, C among AABB, .6291, .3709, 22, 8, 30
65, C among Aabb, .6291, .3709, 40, 20, 60
66, C among AAbb, .6291, .3709, 17, 9, 26
67, C among aaBb, .6291, .3709, 36, 19, 55
68, C among aaBB, .6291, .3709, 25, 8, 33
69, C among aabb, .6291, .3709, 20, 10, 30
70, A, 1, 1, 43, 47, 90
71, B among AA, 1, 1, 20, 23, 43
72, B among Aa, 1, 1, 25, 22, 47
73, A, 1, 1, 57, 53, 110
74, B among Aa, 1, 1, 31, 26, 57
75, B among aa, 1, 1, 27, 26, 53
76, A, 1, 1, 44, 43, 87
77, B among AA, 1, 1, 25, 19, 44
78, B among Aa, 1, 1, 22, 21, 43
79, A, 1, 1, 49, 49, 98
80, B among Aa, 1, 1, 24, 25, 49
81, B among aa, 1, 1, 22, 27, 49
82, G, 1, 1, 87, 79, 166
83, C among Gg, 1, 1, 47, 40, 87
84, C among gg, 1, 1, 38, 41, 79
